"X"	"Y"	"B07"	"B06"	"B05"	"B04"	"B03"	"B02"	"B01"
462191.000000	6977501.000000	100.706787	72.616905	28.318132	27.463587	21.934814	6.000000	6.000000
462221.000000	6977501.000000	99.701530	72.611023	29.908886	26.331915	20.754044	6.000000	6.000000
462251.000000	6977501.000000	96.682678	68.666656	25.084146	23.290596	19.587770	6.000000	6.000000
462281.000000	6977501.000000	96.799637	70.630089	27.070621	25.877819	21.022238	6.000000	6.000000
462311.000000	6977501.000000	98.754295	70.789894	27.754612	25.124685	20.024910	6.000000	6.000000
462341.000000	6977501.000000	97.989914	70.083038	26.707003	26.893246	20.373671	6.000000	6.000000
462371.000000	6977501.000000	94.828209	69.015800	27.245287	27.293818	21.439951	6.000000	6.000000
462401.000000	6977501.000000	94.596016	70.014458	30.060505	27.694204	21.373671	6.000000	6.000000
462431.000000	6977501.000000	94.131821	70.383987	31.363567	30.862959	23.440712	9.571810	10.000000
462461.000000	6977501.000000	97.702507	81.030266	54.808754	43.748158	29.521196	10.000000	10.000000
461531.000000	6977531.000000	96.323814	80.069862	43.844467	33.590519	25.844469	9.000000	9.000000
461561.000000	6977531.000000	91.730278	68.297707	27.893124	12.730277	13.865139	9.000000	9.000000
461591.000000	6977531.000000	90.516006	64.475235	21.916559	12.567430	13.610095	7.085329	7.000000
461621.000000	6977531.000000	94.445107	65.387001	17.046108	9.807696	11.684179	6.793964	7.000000
461651.000000	6977531.000000	94.710068	66.361359	18.756632	10.246042	12.516954	6.000000	6.000000
461681.000000	6977531.000000	94.308830	65.878319	19.089506	11.084923	12.925761	6.000000	6.000000
461711.000000	6977531.000000	93.808647	67.258636	21.206373	13.060886	13.885007	6.000000	6.000000
461741.000000	6977531.000000	95.876190	66.738380	18.713182	8.692808	11.598443	6.000000	6.000000
461771.000000	6977531.000000	96.009651	65.816780	17.099012	8.459474	11.168097	6.000000	6.000000
461801.000000	6977531.000000	93.802963	65.636192	19.104984	9.764881	11.593652	6.000000	6.000000
461831.000000	6977531.000000	93.439156	66.000000	18.878315	9.976844	11.304375	6.000000	6.000000
461861.000000	6977531.000000	92.547256	65.732071	19.244310	11.256929	12.634677	6.000000	6.000000
461891.000000	6977531.000000	93.171432	65.671509	18.085791	9.571347	11.646632	6.000000	6.000000
461921.000000	6977531.000000	96.361244	65.278633	16.228775	8.686695	11.267928	5.634475	6.000000
461951.000000	6977531.000000	96.565002	66.127609	17.161421	8.653634	11.505187	5.000000	5.000000
461981.000000	6977531.000000	98.065132	67.425232	16.838789	8.277684	11.521315	5.535239	6.000000
462011.000000	6977531.000000	98.121681	66.439156	16.317472	7.754207	11.000000	6.000000	6.000000
462041.000000	6977531.000000	98.807945	66.887726	16.170246	9.128418	11.510965	6.000000	6.000000
462071.000000	6977531.000000	95.376465	67.773727	25.560850	17.979145	16.566526	6.484763	6.000000
462101.000000	6977531.000000	99.341026	71.340530	24.518946	14.573803	14.660210	7.000000	7.000000
462131.000000	6977531.000000	100.101044	69.821854	20.455305	13.533933	13.912948	6.345523	6.000000
462161.000000	6977531.000000	103.000000	71.000000	17.878315	8.995129	11.682724	6.000000	6.000000
462191.000000	6977531.000000	103.128075	70.766121	18.366610	9.440768	11.611998	6.000000	6.000000
462221.000000	6977531.000000	100.792000	69.295593	18.030338	9.000000	11.512655	6.000000	6.000000
462251.000000	6977531.000000	99.489281	67.523651	16.904785	8.616190	11.003418	6.000000	6.000000
462281.000000	6977531.000000	100.570030	68.470642	17.553217	8.525697	11.091764	6.000000	6.000000
462311.000000	6977531.000000	101.446472	69.007317	17.615171	9.054329	11.560843	6.000000	6.000000
462341.000000	6977531.000000	100.707230	68.373894	17.520281	8.666666	11.373895	6.000000	6.000000
462371.000000	6977531.000000	99.448135	67.682381	16.934160	8.317616	11.049687	6.000000	6.000000
462401.000000	6977531.000000	99.057793	66.775665	16.000000	9.101910	11.439157	6.000000	6.000000
462431.000000	6977531.000000	97.365540	66.967392	19.909615	10.198127	11.989944	9.571810	10.000000
462461.000000	6977531.000000	98.375885	79.366585	50.913010	31.636017	23.042675	10.000000	10.000000
461531.000000	6977561.000000	96.224663	79.613319	46.362499	33.040451	25.041695	8.318697	9.000000
461561.000000	6977561.000000	94.751144	67.494316	20.202934	10.159146	12.309832	8.318697	9.000000
461591.000000	6977561.000000	94.369408	65.713051	18.060081	9.889556	12.064769	6.404026	7.000000
461621.000000	6977561.000000	94.095512	65.381142	16.857607	9.825200	11.982898	6.234927	7.000000
461651.000000	6977561.000000	93.977844	65.494598	17.681303	9.686278	12.025461	5.659348	6.000000
461681.000000	6977561.000000	93.760445	65.340652	18.072645	10.222626	12.429220	5.659348	6.000000
